Код,Наименование,Тариф,Подробности
1404900008,"Материалы растительного происхождения, в другом месте не поименованные или не включенные: 🠺 прочие: 🠺 прочие",8%,подробнее
1501101000,"лярд: 🠺 для промышленного применения, кроме производства продуктов, используемых для употребления в пищу",10%,подробнее
1501109000,лярд: 🠺 прочий,10%,подробнее
1501201000,"жир свиной прочий: 🠺 для промышленного применения, кроме производства продуктов, используемых для употребления в пищу",10%,подробнее
1501209000,жир свиной прочий: 🠺 прочий,10%,подробнее
1501900000,"Жир свиной (включая лярд) и жир домашней птицы, кроме жира товарной позиции 0209 или 1503: 🠺 прочий",10%,подробнее
1502101000,"жир топленый: 🠺 для промышленного применения, кроме производства продуктов, используемых для употребления в пищу",5%,подробнее
1502109000,жир топленый: 🠺 прочий,10%,подробнее
1502901000,"Жир крупного рогатого скота, овец или коз, кроме жира товарной позиции 1503: 🠺 прочий: 🠺 для промышленного применения, кроме производства продуктов, используемых для употребления в пищу",5%,подробнее
1502909000,"Жир крупного рогатого скота, овец или коз, кроме жира товарной позиции 1503: 🠺 прочий: 🠺 прочий",10%,подробнее
1503001100,лярд-стеарин и олеостеарин: 🠺 для промышленного применения,10%,подробнее
1503001900,лярд-стеарин и олеостеарин: 🠺 прочие,15%,подробнее
1503003000,"Лярд-стеарин, лярд-ойль, олеостеарин, олео-ойль и животное масло, неэмульгированные или несмешанные, или не приготовленные каким-либо иным способом: 🠺 животное масло для промышленного применения, кроме производства продуктов, используемых для употребления в пищу",15%,подробнее
1503009000,"Лярд-стеарин, лярд-ойль, олеостеарин, олео-ойль и животное масло, неэмульгированные или несмешанные, или не приготовленные каким-либо иным способом: 🠺 прочие",15%,подробнее
1504101000,жиры из печени рыбы и их фракции: 🠺 с содержанием витамина А не более 2500 МЕ/г,11%,подробнее
1504109100,жиры из печени рыбы и их фракции: 🠺 прочие: 🠺 из палтуса,11%,подробнее
1504109900,жиры из печени рыбы и их фракции: 🠺 прочие: 🠺 прочие,11%,подробнее
1504201000,"жиры и масла из рыбы и их фракции, кроме жира из печени: 🠺 твердые фракции",10%,подробнее
1504209000,"жиры и масла из рыбы и их фракции, кроме жира из печени: 🠺 прочие",10%,подробнее
1504301000,жиры и масла морских млекопитающих и их фракции: 🠺 твердые фракции,11%,подробнее
1504309000,жиры и масла морских млекопитающих и их фракции: 🠺 прочие,11%,подробнее
1505001000,"Жиропот и жировые вещества, получаемые из него (включая ланолин): 🠺 жиропот сырой",5%,подробнее
1505009000,"Жиропот и жировые вещества, получаемые из него (включая ланолин): 🠺 прочие",5%,подробнее
1506000000,"Жиры и масла животного или растительного происхождения и продукты их расщепления; готовые пищевые жиры; воски животного или растительного происхождения 🠺 Прочие жиры и масла животного происхождения и их фракции, нерафинированные или рафинированные, но без изменения химического состава",15%,подробнее
1507101000,"масло сырое, нерафинированное или рафинированное гидратацией: 🠺 для технического или промышленного применения, кроме производства продуктов, используемых для употребления в пищу",13%,подробнее
1507109001,"масло сырое, нерафинированное или рафинированное гидратацией: 🠺 прочее: 🠺 в первичных упаковках нетто- объемом 10 л или менее","15%, но не менее 0.09 EUR за 1 кг",подробнее
1507109009,"масло сырое, нерафинированное или рафинированное гидратацией: 🠺 прочее: 🠺 прочее","15%, но не менее 0.08 EUR за 1 кг",подробнее
1507901000,"Масло соевое и его фракции, нерафинированные или рафинированные, но без изменения химического состава: 🠺 прочие: 🠺 для технического или промышленного применения, кроме производства продуктов, используемых для употребления в пищу",15%,подробнее
1507909001,"Масло соевое и его фракции, нерафинированные или рафинированные, но без изменения химического состава: 🠺 прочие: 🠺 прочие: 🠺 в первичных упаковках нетто- объемом 10 л или менее","14%, но не менее 0.09 EUR за 1 кг",подробнее
1507909009,"Масло соевое и его фракции, нерафинированные или рафинированные, но без изменения химического состава: 🠺 прочие: 🠺 прочие: 🠺 прочие","15%, но не менее 0.08 EUR за 1 кг",подробнее
1508101000,"масло сырое: 🠺 для технического или промышленного применения, кроме производства продуктов, используемых для употребления в пищу",5%,подробнее
1508109000,масло сырое: 🠺 прочее,5%,подробнее
1508901000,"Масло арахисовое и его фракции, нерафинированные или рафинированные, но без изменения химического состава: 🠺 прочие: 🠺 для технического или промышленного применения, кроме производства продуктов, используемых для употребления в пищу",3%,подробнее
1508909000,"Масло арахисовое и его фракции, нерафинированные или рафинированные, но без изменения химического состава: 🠺 прочие: 🠺 прочие",3%,подробнее
1509200000,"Масло оливковое и его фракции, нерафинированные или рафинированные, но без изменения химического состава: 🠺 масло оливковое первого отжима высшего качества нерафинированное",5%,подробнее
1509300000,"Масло оливковое и его фракции, нерафинированные или рафинированные, но без изменения химического состава: 🠺 масло оливковое первого отжима нерафинированное",5%,подробнее
1509400000,"Масло оливковое и его фракции, нерафинированные или рафинированные, но без изменения химического состава: 🠺 прочие масла оливковые первого отжима нерафинированные",5%,подробнее
1509900000,"Масло оливковое и его фракции, нерафинированные или рафинированные, но без изменения химического состава: 🠺 прочие",5%,подробнее
1510100000,"Жиры и масла животного или растительного происхождения и продукты их расщепления; готовые пищевые жиры; воски животного или растительного происхождения 🠺 Прочие масла и их фракции, получаемые только из маслин, или оливок, нерафинированные или рафинированные, но без изменения химического состава, включая смеси этих масел или фракций с маслами или фракциями товарной позиции 1509: (с 01.01.2022) 🠺 масло оливковое из жмыха сырое",10%,подробнее
1510900000,"Жиры и масла животного или растительного происхождения и продукты их расщепления; готовые пищевые жиры; воски животного или растительного происхождения 🠺 Прочие масла и их фракции, получаемые только из маслин, или оливок, нерафинированные или рафинированные, но без изменения химического состава, включая смеси этих масел или фракций с маслами или фракциями товарной позиции 1509: (с 01.01.2022) 🠺 прочее",5%,подробнее
1511101000,"масло сырое: 🠺 для технического или промышленного применения, кроме производства продуктов, используемых для употребления в пищу",0%,подробнее
1511109002,масло сырое: 🠺 прочее: 🠺 в таре нетто-массой 20 000 кг или менее,3%,подробнее
1511109008,масло сырое: 🠺 прочее: 🠺 прочее,0%,подробнее
1511901100,твердые фракции: 🠺 в первичных упаковках нетто-массой не более 1 кг,3%,подробнее
1511901902,твердые фракции: 🠺 прочие: 🠺 в таре нетто-массой 20 000 кг или менее,3%,подробнее
1511901908,твердые фракции: 🠺 прочие: 🠺 прочие,0%,подробнее
1511909100,"Масло пальмовое и его фракции, нерафинированные или рафинированные, но без изменения химического состава: 🠺 прочие: 🠺 прочие: 🠺 для технического или промышленного применения, кроме производства продуктов, используемых для употребления в пищу",0%,подробнее
1511909902,"Масло пальмовое и его фракции, нерафинированные или рафинированные, но без изменения химического состава: 🠺 прочие: 🠺 прочие: 🠺 прочие: 🠺 в таре нетто-массой 20 000 кг или менее",3%,подробнее
1511909908,"Масло пальмовое и его фракции, нерафинированные или рафинированные, но без изменения химического состава: 🠺 прочие: 🠺 прочие: 🠺 прочие: 🠺 прочие",0%,подробнее
1512111000,"масло сырое: 🠺 для технического или промышленного применения, кроме производства продуктов, используемых для употребления в пищу",15%,подробнее
1512119101,масло подсолнечное: 🠺 в первичных упаковках нетто- объемом 10 л или менее,"15%, но не менее 0.1 EUR за 1 кг",подробнее
1512119109,масло подсолнечное: 🠺 прочее,"15%, но не менее 0.09 EUR за 1 кг",подробнее
1512119901,масло сафлоровое: 🠺 в первичных упаковках нетто- объемом 10 л или менее,"15%, но не менее 0.11 EUR за 1 кг",подробнее
1512119909,масло сафлоровое: 🠺 прочее,"15%, но не менее 0.09 EUR за 1 кг",подробнее
1512191000,"масло подсолнечное или сафлоровое и их фракции: 🠺 прочие: 🠺 для технического или промышленного применения, кроме производства продуктов, используемых для употребления в пищу",15%,подробнее
1512199002,масло подсолнечное или сафлоровое и их фракции: 🠺 прочие: 🠺 прочие: 🠺 подсолнечное масло или его фракции в первичных упаковках нетто-объемом 10 л или менее,"15%, но не менее 0.1 EUR за 1 кг",подробнее
1512199003,масло подсолнечное или сафлоровое и их фракции: 🠺 прочие: 🠺 прочие: 🠺 сафлоровое масло или его фракции в первичных упаковках нетто- объемом 10 л или менее,"15%, но не менее 0.095 EUR за 1 кг",подробнее
1512199009,масло подсолнечное или сафлоровое и их фракции: 🠺 прочие: 🠺 прочие: 🠺 прочие,"15%, но не менее 0.09 EUR за 1 кг",подробнее
1512211000,"масло сырое, очищенное от госсипола или не очищенное: 🠺 для технического или промышленного применения, кроме производства продуктов, используемых для употребления в пищу",10%,подробнее
1512219000,"масло сырое, очищенное от госсипола или не очищенное: 🠺 прочее",10%,подробнее
1512291000,"масло хлопковое и его фракции: 🠺 прочие: 🠺 для технического или промышленного применения, кроме производства продуктов, используемых для употребления в пищу",13%,подробнее
1512299000,масло хлопковое и его фракции: 🠺 прочие: 🠺 прочие,13%,подробнее
1513111000,"масло сырое: 🠺 для технического или промышленного применения, кроме производства продуктов, используемых для употребления в пищу",0%,подробнее
1513119100,масло сырое: 🠺 прочее: 🠺 в первичных упаковках нетто- массой не более 1 кг,3%,подробнее
1513119902,масло сырое: 🠺 прочее: 🠺 прочее: 🠺 в таре нетто-массой 19 000 кг или менее,3%,подробнее
1513119908,масло сырое: 🠺 прочее: 🠺 прочее: 🠺 прочее,0%,подробнее
1513191100,твердые фракции: 🠺 в первичных упаковках нетто- массой не более 1 кг,3%,подробнее
1513191902,твердые фракции: 🠺 прочие: 🠺 в таре нетто-массой 19 000 кг или менее,3%,подробнее
1513191908,твердые фракции: 🠺 прочие: 🠺 прочие,0%,подробнее
1513193000,"масло кокосовое (копровое) и его фракции: 🠺 прочие: 🠺 прочие: 🠺 для технического или промышленного применения, кроме производства продуктов, используемых для употребления в пищу",0%,подробнее
1513199100,масло кокосовое (копровое) и его фракции: 🠺 прочие: 🠺 прочие: 🠺 прочие: 🠺 в первичных упаковках нетто- массой не более 1 кг,3%,подробнее
1513199902,масло кокосовое (копровое) и его фракции: 🠺 прочие: 🠺 прочие: 🠺 прочие: 🠺 прочие: 🠺 в таре нетто-массой 19 000 кг или менее,3%,подробнее
1513199908,масло кокосовое (копровое) и его фракции: 🠺 прочие: 🠺 прочие: 🠺 прочие: 🠺 прочие: 🠺 прочие,0%,подробнее
1513211000,"масло сырое: 🠺 для технического или промышленного применения, кроме производства продуктов, используемых для употребления в пищу",0%,подробнее
1513213000,масло сырое: 🠺 прочее: 🠺 в первичных упаковках нетто- массой не более 1 кг,"5%, но не менее 0.12 EUR за 1 кг",подробнее
1513219002,масло сырое: 🠺 прочее: 🠺 прочее: 🠺 в таре нетто-массой 19 000 кг или менее,"5%, но не менее 0.12 EUR за 1 кг",подробнее
1513219008,масло сырое: 🠺 прочее: 🠺 прочее: 🠺 прочее,0%,подробнее
1513291100,твердые фракции: 🠺 в первичных упаковках нетто- массой не более 1 кг,"5%, но не менее 0.12 EUR за 1 кг",подробнее
1513291902,твердые фракции: 🠺 прочие: 🠺 в таре нетто-массой 19 000 кг или менее,"5%, но не менее 0.12 EUR за 1 кг",подробнее
1513291908,твердые фракции: 🠺 прочие: 🠺 прочие,0%,подробнее
1513293000,"масло пальмоядровое или масло бабассу и их фракции: 🠺 прочие: 🠺 прочие: 🠺 для технического или промышленного применения, кроме производства продуктов, используемых для употребления в пищу",0%,подробнее
1513295000,масло пальмоядровое или масло бабассу и их фракции: 🠺 прочие: 🠺 прочие: 🠺 прочие: 🠺 в первичных упаковках нетто- массой 1 кг или менее,"5%, но не менее 0.12 EUR за 1 кг",подробнее
1513299002,масло пальмоядровое или масло бабассу и их фракции: 🠺 прочие: 🠺 прочие: 🠺 прочие: 🠺 прочие: 🠺 в таре нетто-массой 19 000 кг или менее,"5%, но не менее 0.12 EUR за 1 кг",подробнее
1513299008,масло пальмоядровое или масло бабассу и их фракции: 🠺 прочие: 🠺 прочие: 🠺 прочие: 🠺 прочие: 🠺 прочие,0%,подробнее
1514111000,"масло сырое: 🠺 для технического или промышленного применения, кроме производства продуктов, используемых для употребления в пищу",15%,подробнее
1514119001,масло сырое: 🠺 прочее: 🠺 в первичных упаковках нетто- объемом 10 л или менее,13%,подробнее
1514119009,масло сырое: 🠺 прочее: 🠺 прочее,13%,подробнее
1514191000,"масло рапсовое (из рапса, или кользы) с низким содержанием эруковой кислоты и его фракции: 🠺 прочие: 🠺 для технического или промышленного применения, кроме производства продуктов, используемых для употребления в пищу",13%,подробнее
1514199001,"масло рапсовое (из рапса, или кользы) с низким содержанием эруковой кислоты и его фракции: 🠺 прочие: 🠺 прочие: 🠺 в первичных упаковках нетто- объемом 10 л или менее","13%, но не менее 0.1 EUR за 1 кг",подробнее
1514199009,"масло рапсовое (из рапса, или кользы) с низким содержанием эруковой кислоты и его фракции: 🠺 прочие: 🠺 прочие: 🠺 прочие","13%, но не менее 0.087 EUR за 1 кг",подробнее
1514911000,"масло сырое: 🠺 для технического или промышленного применения, кроме производства продуктов, используемых для употребления в пищу",15%,подробнее
1514919001,масло сырое: 🠺 прочее: 🠺 в первичных упаковках нетто- объемом 10 л или менее,13%,подробнее
1514919009,масло сырое: 🠺 прочее: 🠺 прочее,13%,подробнее
1514991000,"Масло рапсовое (из рапса, или кользы) или горчичное и их фракции, нерафинированные или рафинированные, но без изменения химического состава: 🠺 прочие: 🠺 прочие: 🠺 для технического или промышленного применения, кроме производства продуктов, используемых для употребления в пищу",13%,подробнее
1514999001,"Масло рапсовое (из рапса, или кользы) или горчичное и их фракции, нерафинированные или рафинированные, но без изменения химического состава: 🠺 прочие: 🠺 прочие: 🠺 прочие: 🠺 в первичных упаковках нетто- объемом 10 л или менее","13%, но не менее 0.1 EUR за 1 кг",подробнее
1514999009,"Масло рапсовое (из рапса, или кользы) или горчичное и их фракции, нерафинированные или рафинированные, но без изменения химического состава: 🠺 прочие: 🠺 прочие: 🠺 прочие: 🠺 прочие","13%, но не менее 0.087 EUR за 1 кг",подробнее
1515110000,масло льняное и его фракции: 🠺 масло сырое,5%,подробнее
1515191000,"масло льняное и его фракции: 🠺 прочие: 🠺 для технического или промышленного применения, кроме производства продуктов, используемых для употребления в пищу",5%,подробнее
1515199000,масло льняное и его фракции: 🠺 прочие: 🠺 прочие,5%,подробнее
1515211000,"масло сырое: 🠺 для технического или промышленного применения, кроме производства продуктов, используемых для употребления в пищу",5%,подробнее
1515219000,масло сырое: 🠺 прочее,5%,подробнее
1515291000,"масло кукурузное и его фракции: 🠺 прочие: 🠺 для технического или промышленного применения, кроме производства продуктов, используемых для употребления в пищу",5%,подробнее
1515299000,масло кукурузное и его фракции: 🠺 прочие: 🠺 прочие,5%,подробнее
1515301000,масло касторовое и его фракции: 🠺 для производства аминоундекановой кислоты для использования в производстве синтетического волокна или искусственных полимерных материалов,5%,подробнее
1515309000,масло касторовое и его фракции: 🠺 прочие,5%,подробнее
1515501100,"масло сырое: 🠺 для технического или промышленного применения, кроме производства продуктов, используемых для употребления в пищу",5%,подробнее
1515501900,масло сырое: 🠺 прочее,5%,подробнее
1515509100,"масло кунжутное и его фракции: 🠺 прочие: 🠺 для технического или промышленного применения, кроме производства продуктов, используемых для употребления в пищу",5%,подробнее
1515509900,масло кунжутное и его фракции: 🠺 прочие: 🠺 прочие,5%,подробнее
1515600000,"Жиры и масла животного или растительного происхождения и продукты их расщепления; готовые пищевые жиры; воски животного или растительного происхождения 🠺 Прочие нелетучие жиры и масла (включая масло жожоба) растительного или микробиологического происхождения и их фракции, нерафинированные или рафинированные, но без изменения химического состава: 🠺 жиры и масла микробиологического происхождения и их фракции",5%,подробнее
1515901100,"Жиры и масла животного или растительного происхождения и продукты их расщепления; готовые пищевые жиры; воски животного или растительного происхождения 🠺 Прочие нелетучие жиры и масла (включая масло жожоба) растительного или микробиологического происхождения и их фракции, нерафинированные или рафинированные, но без изменения химического состава: 🠺 прочие: 🠺 тунговое масло; масла жожоба и ойтиковое; воск из мирта и японский воск; их фракции",5%,подробнее
1515902100,"масло сырое: 🠺 для технического или промышленного применения, кроме производства продуктов, используемых для употребления в пищу",5%,подробнее
1515902900,масло сырое: 🠺 прочее,5%,подробнее
1515903100,"масло табачное и его фракции: 🠺 прочие: 🠺 для технического или промышленного применения, кроме производства продуктов, используемых для употребления в пищу",5%,подробнее
1515903900,масло табачное и его фракции: 🠺 прочие: 🠺 прочие,5%,подробнее
1515905000,"масла сырые: 🠺 для технического или промышленного применения, кроме производства продуктов, используемых для употребления в пищу",5%,подробнее
1515906100,"масла сырые: 🠺 прочие: 🠺 в твердом виде, в первичных упаковках нетто-массой не более 1 кг",5%,подробнее
1515906900,"масла сырые: 🠺 прочие: 🠺 в твердом виде, прочие; в жидком виде",5%,подробнее
1515907000,"Жиры и масла животного или растительного происхождения и продукты их расщепления; готовые пищевые жиры; воски животного или растительного происхождения 🠺 Прочие нелетучие жиры и масла (включая масло жожоба) растительного или микробиологического происхождения и их фракции, нерафинированные или рафинированные, но без изменения химического состава: 🠺 прочие: 🠺 прочие масла и их фракции: 🠺 прочие: 🠺 для технического или промышленного применения, кроме производства продуктов, используемых для употребления в пищу",5%,подробнее
1515908100,"Жиры и масла животного или растительного происхождения и продукты их расщепления; готовые пищевые жиры; воски животного или растительного происхождения 🠺 Прочие нелетучие жиры и масла (включая масло жожоба) растительного или микробиологического происхождения и их фракции, нерафинированные или рафинированные, но без изменения химического состава: 🠺 прочие: 🠺 прочие масла и их фракции: 🠺 прочие: 🠺 прочие: 🠺 в твердом виде, в первичных упаковках нетто-массой не более 1 кг",5%,подробнее
1515908900,"Жиры и масла животного или растительного происхождения и продукты их расщепления; готовые пищевые жиры; воски животного или растительного происхождения 🠺 Прочие нелетучие жиры и масла (включая масло жожоба) растительного или микробиологического происхождения и их фракции, нерафинированные или рафинированные, но без изменения химического состава: 🠺 прочие: 🠺 прочие масла и их фракции: 🠺 прочие: 🠺 прочие: 🠺 в твердом виде, прочие; в жидком виде",5%,подробнее
1516101000,жиры и масла животного происхождения и их фракции: 🠺 в первичных упаковках нетто-массой не более 1 кг,15%,подробнее
1516109000,жиры и масла животного происхождения и их фракции: 🠺 прочие,15%,подробнее
1516201000,"жиры и масла растительного происхождения и их фракции: 🠺 масло гидрогенизированное касторовое, так называемый ""опаловый воск""",15%,подробнее
1516208100,жиры и масла растительного происхождения и их фракции: 🠺 прочие: 🠺 в первичных упаковках нетто-массой не более 1 кг,15%,подробнее
1516209500,"жиры и масла растительного происхождения и их фракции: 🠺 прочие: 🠺 прочие: 🠺 масла льняное, рапсовое (из рапса, или кользы), подсолнечное, брассии, карите, макоре, тулукуна или бабассу для технического или промышленного применения, кроме производства продуктов, используемых для употребления в пищу",13%,подробнее
1516209601,"масла арахисовое, хлопковое, соевое или подсолнечное; масла прочие, содержащие менее 50 мас.% свободных жирных кислот, за исключением масел пальмоядрового, брассии, кокосового, рапсового (из рапса, или кользы) или копайба: 🠺 масло хлопковое гидрогенизированное",13%,подробнее
1516209602,"масла арахисовое, хлопковое, соевое или подсолнечное; масла прочие, содержащие менее 50 мас.% свободных жирных кислот, за исключением масел пальмоядрового, брассии, кокосового, рапсового (из рапса, или кользы) или копайба: 🠺 масло из виноградных косточек",12%,подробнее
1516209608,"масла арахисовое, хлопковое, соевое или подсолнечное; масла прочие, содержащие менее 50 мас.% свободных жирных кислот, за исключением масел пальмоядрового, брассии, кокосового, рапсового (из рапса, или кользы) или копайба: 🠺 прочие","14%, но не менее 0.12 EUR за 1 кг",подробнее
1516209801,жиры и масла растительного происхождения и их фракции: 🠺 прочие: 🠺 прочие: 🠺 прочие: 🠺 прочие: 🠺 заменители какао-масла,12%,подробнее
1516209802,жиры и масла растительного происхождения и их фракции: 🠺 прочие: 🠺 прочие: 🠺 прочие: 🠺 прочие: 🠺 эквиваленты какао-масла,12%,подробнее
1516209808,жиры и масла растительного происхождения и их фракции: 🠺 прочие: 🠺 прочие: 🠺 прочие: 🠺 прочие: 🠺 прочие,12%,подробнее
1516300001,жиры и масла микробиологического происхождения и их фракции: (с 01.01.2022) 🠺 в первичных упаковках неттомассой не более 1 кг,15%,подробнее
1516300005,"жиры и масла микробиологического происхождения и их фракции: (с 01.01.2022) 🠺 прочие: (с 01.01.2022) 🠺 масла, содержащие менее 50 мас.% свободных жирных кислот","14%, но не менее 0.12 EUR за 1 кг",подробнее
1516300009,жиры и масла микробиологического происхождения и их фракции: (с 01.01.2022) 🠺 прочие: (с 01.01.2022) 🠺 прочие,12%,подробнее
1517101000,"маргарин, за исключением жидкого маргарина: 🠺 содержащий более 10 мас.%, но не более 15 мас.% молочных жиров","15%, но не менее 0.12 EUR за 1 кг",подробнее
1517109000,"маргарин, за исключением жидкого маргарина: 🠺 прочий","15%, но не менее 0.12 EUR за 1 кг",подробнее
1517901000,"Маргарин; пригодные для употребления в пищу смеси или готовые продукты из жиров или масел животного, растительного или микробиологического происхождения или фракций различных жиров или масел данной группы, кроме пригодных для употребления в пищу жиров и масел или их фракций товарной позиции 1516: 🠺 прочие: 🠺 содержащие более 10 мас.%, но не более 15 мас.% молочных жиров","15%, но не менее 0.12 EUR за 1 кг",подробнее
1517909100,"Маргарин; пригодные для употребления в пищу смеси или готовые продукты из жиров или масел животного, растительного или микробиологического происхождения или фракций различных жиров или масел данной группы, кроме пригодных для употребления в пищу жиров и масел или их фракций товарной позиции 1516: 🠺 прочие: 🠺 прочие: 🠺 нелетучие масла растительного происхождения жидкие, смешанные","15%, но не менее 0.12 EUR за 1 кг",подробнее
1517909300,"Маргарин; пригодные для употребления в пищу смеси или готовые продукты из жиров или масел животного, растительного или микробиологического происхождения или фракций различных жиров или масел данной группы, кроме пригодных для употребления в пищу жиров и масел или их фракций товарной позиции 1516: 🠺 прочие: 🠺 прочие: 🠺 пригодные для употребления в пищу смеси или готовые продукты, используемые в качестве смазки для форм","15%, но не менее 0.12 EUR за 1 кг",подробнее
1517909900,"Маргарин; пригодные для употребления в пищу смеси или готовые продукты из жиров или масел животного, растительного или микробиологического происхождения или фракций различных жиров или масел данной группы, кроме пригодных для употребления в пищу жиров и масел или их фракций товарной позиции 1516: 🠺 прочие: 🠺 прочие: 🠺 прочие","15%, но не менее 0.12 EUR за 1 кг",подробнее
1518001000,"Жиры и масла животного, растительного или микробиологического происхождения и их фракции, вареные, окисленные, дегидратированные, сульфурированные, окисленные воздушной продувкой, полимеризованные путем нагревания в вакууме или в инертном газе или химически модифицированные другим способом, кроме продуктов товарной позиции 1516; непригодные для употребления в пищу смеси или готовые продукты из жиров и масел животного, растительного или микробиологического происхождения или фракций различных жиров или масел данной группы, в другом месте не поименованные или не включенные: 🠺 линоксин",15%,подробнее
1518003100,"нелетучие масла растительного происхождения жидкие, смешанные, для технического или промышленного применения, кроме производства продуктов, используемых для употребления в пищу: 🠺 сырые",15%,подробнее
1518003900,"нелетучие масла растительного происхождения жидкие, смешанные, для технического или промышленного применения, кроме производства продуктов, используемых для употребления в пищу: 🠺 прочие",15%,подробнее
1518009100,"Жиры и масла животного, растительного или микробиологического происхождения и их фракции, вареные, окисленные, дегидратированные, сульфурированные, окисленные воздушной продувкой, полимеризованные путем нагревания в вакууме или в инертном газе или химически модифицированные другим способом, кроме продуктов товарной позиции 1516; непригодные для употребления в пищу смеси или готовые продукты из жиров и масел животного, растительного или микробиологического происхождения или фракций различных жиров или масел данной группы, в другом месте не поименованные или не включенные: 🠺 прочие: 🠺 жиры и масла животного, растительного или микробиологического происхождения и их фракции, вареные, окисленные, дегидратированные, сульфурированные, окисленные воздушной продувкой, полимеризованные путем нагревания в вакууме или в инертном газе или химически модифицированные другим способом, кроме продуктов товарной позиции 1516",15%,подробнее
