Код,Наименование,Тариф,Подробности
0106320010,"попугаеобразные (включая попугаев, длиннохвостых попугаев, ара и какаду): 🠺 для научно-исследовательских целей",0%,подробнее
0106320090,"попугаеобразные (включая попугаев, длиннохвостых попугаев, ара и какаду): 🠺 прочие",5%,подробнее
0106330010,страусы; эму (Dromaius novaehollandiae): 🠺 для научно-исследовательских целей,0%,подробнее
0106330090,страусы; эму (Dromaius novaehollandiae): 🠺 прочие,5%,подробнее
0106391000,птицы: 🠺 прочие: 🠺 голуби,5%,подробнее
0106398010,птицы: 🠺 прочие: 🠺 прочие: 🠺 для научно-исследовательских целей,0%,подробнее
0106398090,птицы: 🠺 прочие: 🠺 прочие: 🠺 прочие,5%,подробнее
0106410001,медоносные: 🠺 матки пчелиные,5%,подробнее
0106410002,медоносные: 🠺 пчелопакеты,5%,подробнее
0106410003,медоносные: 🠺 прочие,5%,подробнее
0106410008,пчелы: 🠺 прочие: 🠺 для научно-исследовательских целей,0%,подробнее
0106410009,пчелы: 🠺 прочие: 🠺 прочие,5%,подробнее
0106490001,насекомые: 🠺 прочие: 🠺 для научно-исследовательских целей,0%,подробнее
0106490009,насекомые: 🠺 прочие: 🠺 прочие,5%,подробнее
0106900010,Живые животные прочие: 🠺 прочие: 🠺 животные для научно-исследовательских целей,0%,подробнее
0106900090,Живые животные прочие: 🠺 прочие: 🠺 прочие,5%,подробнее
0201100001,"туши и полутуши: 🠺 в порядке, указанном в дополнительном примечании Евразийского экономического союза 3 к группе 02, кроме включенных в подсубпозицию 0201 10 000 2 или 0201 10 000 3",15%,подробнее
0201100002,туши и полутуши: 🠺 говядина стоимостью на условиях франко-границы страны ввоза не менее 8000 евро за 1000 кг нетто-массы,15%,подробнее
0201100003,туши и полутуши: 🠺 прочие: 🠺 высококачественная говядина 12),15%,подробнее
0201100008,туши и полутуши: 🠺 прочие: 🠺 прочие,"50%, но не менее 1 EUR за 1 кг",подробнее
0201202001,"""компенсированные"" четвертины: 🠺 в порядке, указанном в дополнительном примечании Евразийского экономического союза 3 к группе 02, кроме включенных в подсубпозицию 0201 20 200 2 или 0201 20 200 3",15%,подробнее
0201202002,"""компенсированные"" четвертины: 🠺 говядина стоимостью на условиях франко-границы страны ввоза не менее 8000 евро за 1000 кг нетто-массы",15%,подробнее
0201202003,"""компенсированные"" четвертины: 🠺 прочие: 🠺 высококачественная говядина 12)",15%,подробнее
0201202008,"""компенсированные"" четвертины: 🠺 прочие: 🠺 прочие","50%, но не менее 1 EUR за 1 кг",подробнее
0201203001,"неразделенные или разделенные передние четвертины: 🠺 в порядке, указанном в дополнительном примечании Евразийского экономического союза 3 к группе 02, кроме включенных в подсубпозицию 0201 20 300 2 или 0201 20 300 3",15%,подробнее
0201203002,неразделенные или разделенные передние четвертины: 🠺 говядина стоимостью на условиях франко-границы страны ввоза не менее 8000 евро за 1000 кг нетто-массы,15%,подробнее
0201203003,неразделенные или разделенные передние четвертины: 🠺 прочие: 🠺 высококачественная говядина 12),15%,подробнее
0201203008,неразделенные или разделенные передние четвертины: 🠺 прочие: 🠺 прочие,"50%, но не менее 1 EUR за 1 кг",подробнее
0201205001,"неразделенные или разделенные задние четвертины: 🠺 в порядке, указанном в дополнительном примечании Евразийского экономического союза 3 к группе 02, кроме включенных в подсубпозицию 0201 20 500 2 или 0201 20 500 3",15%,подробнее
0201205002,неразделенные или разделенные задние четвертины: 🠺 говядина стоимостью на условиях франко-границы страны ввоза не менее 8000 евро за 1000 кг нетто-массы,15%,подробнее
0201205003,неразделенные или разделенные задние четвертины: 🠺 прочие: 🠺 высококачественная говядина 12),15%,подробнее
0201205008,неразделенные или разделенные задние четвертины: 🠺 прочие: 🠺 прочие,"50%, но не менее 1 EUR за 1 кг",подробнее
0201209001,"Мясо крупного рогатого скота, свежее или охлажденное: 🠺 прочие отруба, необваленные: 🠺 прочие: 🠺 в порядке, указанном в дополнительном примечании Евразийского экономического союза 3 к группе 02, кроме включенных в подсубпозицию 0201 20 900 2 или 0201 20 900 3",15%,подробнее
0201209002,"Мясо крупного рогатого скота, свежее или охлажденное: 🠺 прочие отруба, необваленные: 🠺 прочие: 🠺 говядина стоимостью на условиях франко-границы страны ввоза не менее 8000 евро за 1000 кг нетто-массы",15%,подробнее
0201209003,"Мясо крупного рогатого скота, свежее или охлажденное: 🠺 прочие отруба, необваленные: 🠺 прочие: 🠺 прочие: 🠺 высококачественная говядина 12)",15%,подробнее
0201209008,"Мясо крупного рогатого скота, свежее или охлажденное: 🠺 прочие отруба, необваленные: 🠺 прочие: 🠺 прочие: 🠺 прочие","50%, но не менее 1 EUR за 1 кг",подробнее
